run_id,checked_at,watch_id,source_name,source_url,claim_area,http_status,content_hash,content_length,observed_title,change_type,error
20260611T120818Z,2026-06-11T12:08:18.536576+00:00,www_hellosimply_com_simply_guitar,Simply,https://www.hellosimply.com/simply-guitar,Music learning apps and platforms,200,1827989628e8713cfbb4e11bcc8648fd30564513397a70da093f5f715851d885,163167,Simply Guitar | Give your home the rock star it deserves,no_change,
20260611T120818Z,2026-06-11T12:08:18.536576+00:00,www_fender_com_play,Fender Play,https://www.fender.com/play,"Music learning apps and platforms; Instrument brands, manufacturers and distributors",200,69eca09463a751c3ee7f6188f3583eb93a2ba4dcdfa2da29a68c53c6fb4bc954,7445,,no_change,
20260611T120818Z,2026-06-11T12:08:18.536576+00:00,www_flowkey_com_en,Flowkey,https://www.flowkey.com/en,Music learning apps and platforms,200,c487aa005654fbed104ff3ff6e2784c2675ce10b420ced7c9ff65788435846d1,177820,Learn Piano – Interactive Piano Learning App | flowkey,no_change,
20260611T120818Z,2026-06-11T12:08:18.536576+00:00,moises_ai,Moises,https://moises.ai/,AI companies and AI initiatives,200,455f224ccf9e0a304aaee67bc269d150a5a6247e7fb1fe37d0199d62c5b3a4cf,264039,Moises App: The Musician&#x27;s App | Vocal Remover &amp; much more,no_change,
20260611T120818Z,2026-06-11T12:08:18.536576+00:00,www_guitartricks_com,Guitar Tricks,https://www.guitartricks.com/,Music learning apps and platforms,200,695b6e2cfcf7c8e28fad4b12df08abca15c0cb1f7704724b23173bff254f5197,687667,Free Online Guitar Lessons - Easy Step-by-Step Video Guitar Lessons,no_change,
20260611T120818Z,2026-06-11T12:08:18.536576+00:00,www_pickupmusic_com,Pickup Music,https://www.pickupmusic.com/,Music learning apps and platforms,200,01aced64d714ad600084f72049ab299799c42577eaefeb305e9e29528938f9b9,139824,Pickup Music - The most structured approach to learning guitar,no_change,
20260611T120818Z,2026-06-11T12:08:18.536576+00:00,www_gibson_app,Gibson App,https://www.gibson.app/,Music learning apps and platforms; Music / Education,200,fab863c2b405a56e8d6d3b059858be5581ac143ba0249cb215ddf05ba68a60dd,397555,Gibson App — The Guitar Learning App with Real-Time Feedback,no_change,
20260611T120818Z,2026-06-11T12:08:18.536576+00:00,fretello_com_app,Fretello,https://fretello.com/app/,Music learning apps and platforms,200,39824892a561b06cb0bc5b3a45e367c2a0f5bfda1483861e1c72c876c8f99740,48424,Guitar Learning App | Fretello,no_change,
20260611T120818Z,2026-06-11T12:08:18.536576+00:00,apps_apple_com_us_app_chord_ai_play_any_song_id1446177109,Chord ai,https://apps.apple.com/us/app/chord-ai-play-any-song/id1446177109,Music hobby software ecosystem,200,21cd3465fec7c6d1aafec2b3781a377c5756cb4535718ab92212064d234d765a,646818,‎Chord ai - Play any song! App - App Store,content_change,
20260611T120818Z,2026-06-11T12:08:18.536576+00:00,play_google_com_store_apps_details,Simply,https://play.google.com/store/apps/details?hl=en_US&id=com.joytunes.simplyguitar,Education; Education; Music; Practice ecosystem; Notation ecosystem,200,6d608a5badc88d01ba6b2ad132627a2261e29211e0f63852709152b8f0ae9c7a,700000,,no_change,
20260611T120818Z,2026-06-11T12:08:18.536576+00:00,www_hellosimply_com,Simply,https://www.hellosimply.com/,Education,200,c35e52aec5903993e2f1f4046ad86ab58d21460f16319bc6d184e3c7db6706d6,244809,Simply | The best apps to set your creativity free,no_change,
20260611T120818Z,2026-06-11T12:08:18.536576+00:00,apps_apple_com_us_app_flowkey_learn_to_play_piano_id1020357408,Flowkey,https://apps.apple.com/us/app/flowkey-learn-to-play-piano/id1020357408,Education,200,660be5a11e3a689a46b1c2fdcf6dd613ade50e8d94d5be8428952a54343384d2,700000,‎flowkey – Learn to Play Piano App - App Store,content_change,
20260611T120818Z,2026-06-11T12:08:18.536576+00:00,apps_apple_com_us_app_fender_play_learn_guitar_id1226057939,Fender Play,https://apps.apple.com/us/app/fender-play-learn-guitar/id1226057939,Education,200,56d0209ab99c55ccde176168a0c3fcae7d3c9781d3e4ef1cc24cb28e9329d088,700000,‎Fender Play: Learn Guitar App - App Store,content_change,
20260611T120818Z,2026-06-11T12:08:18.536576+00:00,apps_apple_com_us_app_moises_the_musicians_app_id1515796612,Moises,https://apps.apple.com/us/app/moises-the-musicians-app/id1515796612,Music,200,cd34026c0e1a681b49cd217368654d49b9688de8fcccce6e59c89de1d9d31171,700000,‎Moises: The Musician's App App - App Store,content_change,
20260611T120818Z,2026-06-11T12:08:18.536576+00:00,apps_apple_com_us_app_musescore_sheet_music_chords_id835731296,MuseScore,https://apps.apple.com/us/app/musescore-sheet-music-chords/id835731296,Music,200,a2851727eb6933f4f38a0d88b8dc81aecdc1658c070156453131fdbfd25d81b7,700000,‎MuseScore－Sheet Music &amp; Chords App - App Store,no_change,
20260611T120818Z,2026-06-11T12:08:18.536576+00:00,apps_apple_com_us_app_songsterr_tabs_chords_id399211291,Songsterr,https://apps.apple.com/us/app/songsterr-tabs-chords/id399211291,Music; Practice ecosystem,200,1c170ab8616b43cf221eb8c2136f8dd50ba2fc9756954055c14169c2f97e48df,685527,‎Songsterr Tabs &amp; Chords App - App Store,no_change,
20260611T120818Z,2026-06-11T12:08:18.536576+00:00,chordai_net,Chord ai,https://chordai.net/,Music,200,c64d7aa6c1a8daad4100023d12bfd307562c63131d4f8109c3c7fd1d2a2c0cee,233922,Chord ai &#8211; Chords and beats for any song!,no_change,
20260611T120818Z,2026-06-11T12:08:18.536576+00:00,fretello_com,Fretello,https://fretello.com/,Education,200,fea3534d795c810db4cdf08a22284294034ae3641267c700cf9ab0f365acbce3,88154,Fretello: Step-by-Step Guitar Lessons for Beginners,no_change,
