run_id,checked_at,watch_id,source_name,source_url,claim_area,http_status,content_hash,content_length,observed_title,change_type,error
20260611T163404Z,2026-06-11T16:34:04.859257+00:00,www_hellosimply_com_simply_guitar,Simply,https://www.hellosimply.com/simply-guitar,Music learning apps and platforms,ERROR,,0,,status_change,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
20260611T163404Z,2026-06-11T16:34:04.859257+00:00,www_fender_com_play,Fender Play,https://www.fender.com/play,"Music learning apps and platforms; Instrument brands, manufacturers and distributors",ERROR,,0,,status_change,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
20260611T163404Z,2026-06-11T16:34:04.859257+00:00,www_flowkey_com_en,Flowkey,https://www.flowkey.com/en,Music learning apps and platforms,ERROR,,0,,status_change,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
20260611T163404Z,2026-06-11T16:34:04.859257+00:00,moises_ai,Moises,https://moises.ai/,AI companies and AI initiatives,ERROR,,0,,status_change,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
20260611T163404Z,2026-06-11T16:34:04.859257+00:00,www_guitartricks_com,Guitar Tricks,https://www.guitartricks.com/,Music learning apps and platforms,ERROR,,0,,status_change,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
20260611T163404Z,2026-06-11T16:34:04.859257+00:00,www_pickupmusic_com,Pickup Music,https://www.pickupmusic.com/,Music learning apps and platforms,ERROR,,0,,status_change,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
20260611T163404Z,2026-06-11T16:34:04.859257+00:00,www_gibson_app,Gibson App,https://www.gibson.app/,Music learning apps and platforms; Music / Education,ERROR,,0,,status_change,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
20260611T163404Z,2026-06-11T16:34:04.859257+00:00,fretello_com_app,Fretello,https://fretello.com/app/,Music learning apps and platforms,ERROR,,0,,status_change,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
20260611T163404Z,2026-06-11T16:34:04.859257+00:00,apps_apple_com_us_app_chord_ai_play_any_song_id1446177109,Chord ai,https://apps.apple.com/us/app/chord-ai-play-any-song/id1446177109,Music hobby software ecosystem,ERROR,,0,,status_change,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
20260611T163404Z,2026-06-11T16:34:04.859257+00:00,play_google_com_store_apps_details,Simply,https://play.google.com/store/apps/details?hl=en_US&id=com.joytunes.simplyguitar,Education; Education; Music; Practice ecosystem; Notation ecosystem,ERROR,,0,,status_change,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
20260611T163404Z,2026-06-11T16:34:04.859257+00:00,www_hellosimply_com,Simply,https://www.hellosimply.com/,Education,ERROR,,0,,status_change,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
20260611T163404Z,2026-06-11T16:34:04.859257+00:00,apps_apple_com_us_app_flowkey_learn_to_play_piano_id1020357408,Flowkey,https://apps.apple.com/us/app/flowkey-learn-to-play-piano/id1020357408,Education,ERROR,,0,,status_change,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
20260611T163404Z,2026-06-11T16:34:04.859257+00:00,apps_apple_com_us_app_fender_play_learn_guitar_id1226057939,Fender Play,https://apps.apple.com/us/app/fender-play-learn-guitar/id1226057939,Education,ERROR,,0,,status_change,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
20260611T163404Z,2026-06-11T16:34:04.859257+00:00,apps_apple_com_us_app_moises_the_musicians_app_id1515796612,Moises,https://apps.apple.com/us/app/moises-the-musicians-app/id1515796612,Music,ERROR,,0,,status_change,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
20260611T163404Z,2026-06-11T16:34:04.859257+00:00,apps_apple_com_us_app_musescore_sheet_music_chords_id835731296,MuseScore,https://apps.apple.com/us/app/musescore-sheet-music-chords/id835731296,Music,ERROR,,0,,status_change,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
